district_id,district_name,population,workshops,people_per_workshop,avg_salary,workshops_working,people_per_workshop_smoothed,total_orgs,working_orgs,survival_rate,target_30_65,female_working_age,population_base_year,female_working_share,pop_2018,pop_2025,growth_2018_2025,salary,housing_2021_2023,score_1_1,score_1_2,score_2_1,female_share_p33,female_share_p67,score_2_2,score_2_3,score_3_1,score_4_3,used_weight,planned_weight,coverage,district_score,district_rank
1,Приморский,714854,19,37623.89473684211,166640.0,19,36659.179487179485,39.0,19.0,0.48717948717948717,378697,215634,704075,0.30626566772005825,565442,714854,0.2642393030584923,166640,2478.7,2,1.0,3,0.2925804648978672,0.3002244606864179,3,3,3,3.0,70.0,70,1.0,2.5714285714285716,1.0
2,Красносельский,440817,13,33909.0,108531.0,13,32653.11111111111,20.0,13.0,0.65,225260,127915,434830,0.2941724352045627,383111,440817,0.1506247536614715,108531,862.7,2,2.0,3,0.2925804648978672,0.3002244606864179,2,3,1,3.0,70.0,70,1.0,2.2857142857142856,4.0
3,Красногвардейский,368354,16,23022.125,126337.0,16,22324.484848484848,26.0,16.0,0.6153846153846154,187195,106577,365491,0.291599519550413,357906,368354,0.029192022486351166,126337,705.5,1,2.0,2,0.2925804648978672,0.3002244606864179,1,2,2,3.0,70.0,70,1.0,1.7142857142857142,13.0
4,Фрунзенский,412471,12,34372.583333333336,119480.0,12,32997.68,24.0,12.0,0.5,214322,121071,412919,0.2932076266773871,401410,412471,0.02755536733016118,119480,240.89999999999998,2,1.0,3,0.2925804648978672,0.3002244606864179,2,2,1,2.0,70.0,70,1.0,2.0,7.0
5,Выборгский,551925,20,27596.25,131990.0,20,26923.170731707316,31.0,20.0,0.6451612903225806,278737,163892,543567,0.3015120491126209,509592,551925,0.08307234022512128,131990,1384.3,2,2.0,3,0.2925804648978672,0.3002244606864179,3,2,2,3.0,70.0,70,1.0,2.357142857142857,3.0
6,Калининский,532972,17,31351.29411764706,145695.0,17,30455.542857142857,23.0,17.0,0.7391304347826086,280747,166221,530745,0.31318429754401833,538258,532972,-0.00982056931805937,145695,40.2,2,3.0,3,0.2925804648978672,0.3002244606864179,3,1,3,1.0,70.0,70,1.0,2.2857142857142856,4.0
7,Невский,556880,21,26518.09523809524,120834.0,21,25901.39534883721,34.0,21.0,0.6176470588235294,293151,164185,548830,0.2991545651658984,519433,556880,0.07209206962206868,120834,1008.0,2,2.0,3,0.2925804648978672,0.3002244606864179,2,2,2,3.0,70.0,70,1.0,2.2857142857142856,4.0
8,Кировский,329419,19,17337.842105263157,129717.0,19,16893.28205128205,25.0,19.0,0.76,172093,96032,330811,0.29029264444048114,336404,329419,-0.020763724569267904,129717,36.7,1,3.0,2,0.2925804648978672,0.3002244606864179,1,1,2,1.0,70.0,70,1.0,1.5,17.0
9,Центральный,198862,24,8285.916666666666,159976.0,24,8116.816326530612,37.0,24.0,0.6486486486486487,108329,58412,198611,0.2941025421552683,222149,198862,-0.10482604018023939,159976,45.8,1,2.0,2,0.2925804648978672,0.3002244606864179,2,1,3,1.0,70.0,70,1.0,1.6428571428571428,14.0
10,Василеостровский,208720,7,29817.14285714286,148492.0,7,27829.333333333332,19.0,7.0,0.3684210526315789,104379,61553,205398,0.2996767251871975,209587,208720,-0.004136706952244175,148492,367.1,2,1.0,2,0.2925804648978672,0.3002244606864179,2,1,3,2.0,70.0,70,1.0,1.9285714285714286,9.0
11,Московский,333941,21,15901.952380952382,163332.0,21,15532.139534883721,32.0,21.0,0.65625,173213,100307,333156,0.3010811751851985,350602,333941,-0.047521120815055246,163332,966.1000000000001,1,2.0,2,0.2925804648978672,0.3002244606864179,3,1,3,3.0,70.0,70,1.0,1.8571428571428572,10.0
12,Петроградский,118213,13,9093.307692307691,154086.0,13,8756.518518518518,19.0,13.0,0.6842105263157895,59798,36017,115314,0.3123384844858387,134787,118213,-0.12296438083791464,154086,316.1,1,2.0,1,0.2925804648978672,0.3002244606864179,3,1,3,2.0,70.0,70,1.0,1.5714285714285714,16.0
13,Адмиралтейский,154424,12,12868.666666666666,134590.0,12,12353.92,19.0,12.0,0.631578947368421,83169,47592,154222,0.3085941046024562,163591,154424,-0.05603609000495137,134590,349.1,1,2.0,1,0.2925804648978672,0.3002244606864179,3,1,2,2.0,70.0,70,1.0,1.4285714285714286,18.0
14,Колпинский,189870,1,189870.0,125218.0,1,126580.0,1.0,1.0,1.0,97149,51100,188153,0.27158748465344695,188688,189870,0.006264309336046808,125218,137.9,3,3.0,1,0.2925804648978672,0.3002244606864179,1,2,2,1.0,70.0,70,1.0,2.0,7.0
15,Кронштадтский,44655,0,,108831.0,0,89310.0,,,,22227,11823,44515,0.2655958665618331,44401,44655,0.005720591878561294,108831,,3,,1,0.2925804648978672,0.3002244606864179,1,2,1,,60.0,70,0.8571428571428571,1.8333333333333333,11.0
16,Курортный,84309,0,,118117.0,0,168618.0,,,,43030,22854,83742,0.2729096510711471,76923,84309,0.09601809601809602,118117,90.8,3,,1,0.2925804648978672,0.3002244606864179,1,2,1,1.0,65.0,70,0.9285714285714286,1.7692307692307692,12.0
17,Петродворцовый,134895,0,,117752.0,0,269790.0,,,,63832,36744,133171,0.27591592764190404,140949,134895,-0.04295170593618969,117752,176.0,3,,1,0.2925804648978672,0.3002244606864179,1,1,1,1.0,65.0,70,0.9285714285714286,1.6153846153846154,15.0
18,Пушкинский,277341,4,69335.25,110107.0,4,61631.333333333336,5.0,4.0,0.8,139128,80404,270213,0.2975578525089466,208702,277341,0.3288852047416891,110107,735.2,3,3.0,2,0.2925804648978672,0.3002244606864179,2,3,1,3.0,70.0,70,1.0,2.4285714285714284,2.0
