_name,total
Адмиралтейский район,156958
муниципальный округ Коломна,38534
муниципальный округ Сенной округ,21954
муниципальный округ Адмиралтейский округ,22710
муниципальный округ Семеновский,23223
муниципальный округ Измайловское,26306
муниципальный округ Екатерингофский,24231
Василеостровский район,205240
муниципальный округ N 7,40595
муниципальный округ Васильевский,32763
муниципальный округ Гавань,35997
муниципальный округ Морской,34722
муниципальный округ Остров Декабристов,61163
Выборгский район,523497
поселок Левашово,5559
поселок Парголово,81033
муниципальный округ Сампсониевское,41411
муниципальный округ Светлановское,84256
муниципальный округ Сосновское,67425
муниципальный округ N 15,64663
муниципальный округ Сергиевское,67803
муниципальный округ Шувалово-Озерки,111347
Калининский район,521875
муниципальный округ Гражданка,73528
муниципальный округ Академическое,106782
муниципальный округ Финляндский округ,74424
муниципальный округ N 21,78268
муниципальный округ Пискаревка,62241
муниципальный округ Северный,53336
муниципальный округ Прометей,73296
Кировский район,331550
муниципальный округ Княжево,59737
муниципальный округ Ульянка,74066
муниципальный округ Дачное,71145
муниципальный округ Автово,44456
муниципальный округ Нарвский округ,31574
муниципальный округ Красненькая речка,40432
муниципальный округ Морские ворота,10140
Колпинский район,194934
г. Колпино,149766
поселок Металлострой,30895
поселок Петро-Славянка,1390
поселок Понтонный,9273
поселок Саперный,1611
поселок Усть-Ижора,1999
Красногвардейский район,355621
муниципальный округ Полюстрово,54842
муниципальный округ Большая Охта,56397
муниципальный округ Малая Охта,47509
муниципальный округ Пороховые,136234
муниципальный округ Ржевка,60639
Красносельский район,412886
г. Красное Село,60029
муниципальный округ Юго-Запад,67582
муниципальный округ Южно-Приморский,91319
муниципальный округ Сосновая Поляна,64461
муниципальный округ Урицк,57726
муниципальный округ Константиновское,38332
муниципальный округ Горелово,33437
Кронштадтский район,44353
г. Кронштадт,44353
Курортный район,78910
г. Зеленогорск,15208
г. Сестрорецк,43060
поселок Белоостров,2301
поселок Комарово,1300
поселок Молодежное,1702
поселок Песочный,9030
поселок Репино,2968
поселок Серово,281
поселок Смолячково,773
поселок Солнечное,1586
поселок Ушково,701
Московский район,347022
муниципальный округ Московская Застава,53640
муниципальный округ Гагаринское,68531
муниципальный округ Новоизмайловское,92848
муниципальный округ Пулковский меридиан,51500
муниципальный округ Звездное,80503
Невский район,538323
муниципальный округ Невская застава,33818
муниципальный округ Ивановский,31479
муниципальный округ Обуховский,53374
муниципальный округ Рыбацкое,65174
муниципальный округ Народный,68121
муниципальный округ N 54,70158
муниципальный округ Невский округ,69984
муниципальный округ Оккервиль,67770
муниципальный округ Правобережный,78445
Петроградский район,125731
муниципальный округ Введенский,18888
муниципальный округ Кронверкское,19559
муниципальный округ Посадский,20300
муниципальный округ Аптекарский Остров,19828
муниципальный округ округ Петровский,20793
муниципальный округ Чкаловское,26363
Петродворцовый район,142655
г. Ломоносов,43029
г. Петергоф,84930
поселок Стрельна,14696
Приморский район,580100
поселок Лисий Нос,4653
муниципальный округ Лахта-Ольгино,4825
муниципальный округ N 65,150364
муниципальный округ Ланское,60510
муниципальный округ Комендантский Аэродром,91736
муниципальный округ Озеро Долгое,101876
муниципальный округ Юнтолово,117031
муниципальный округ Коломяги,49105
Пушкинский район,229403
г. Павловск,17223
поселок Тярлево,1319
г. Пушкин,112978
поселок Александровская,2728
поселок Шушары,95155
Фрунзенский район,384385
муниципальный округ Волковское,56917
муниципальный округ N 72,64868
муниципальный округ Купчино,50403
муниципальный округ Георгиевский,86666
муниципальный округ N 75,50892
муниципальный округ Балканский,74639
Центральный район,210899
муниципальный округ Дворцовый округ,6761
муниципальный округ N 78,10873
муниципальный округ Литейный округ,43886
муниципальный округ Смольнинское,75417
муниципальный округ Лиговка-Ямская,16194
муниципальный округ Владимирский округ,57768
