name, salary, yoy_mar_2024_pct, vs_avg_pct
Адмиралтейский, 134590, 112.5, 95.0
Василеостровский, 148492, 105.5, 104.8
Выборгский, 131990, 111.7, 93.2
Калининский, 145695, 111.6, 102.8
Кировский, 129717, 117.1, 91.6
Колпинский, 125218, 112.2, 88.4
Красногвардейский, 126337, 118.0, 89.2
Красносельский, 108531, 119.1, 76.6
Кронштадтский, 108831, 148.3, 76.8
Курортный, 118117, 114.2, 83.4
Московский, 163332, 122.7, 115.3
Невский, 120834, 115.0, 85.3
Петроградский, 154086, 109.5, 108.8
Петродворцовый, 117752, 83.0, 83.1
Приморский, 166640, 117.1, 117.6
Пушкинский, 110107, 112.9, 77.7
Фрунзенский, 119480, 118.3, 84.3
Центральный, 159976, 117.5, 112.9
